,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],382,173,7,0.3117117117117117,0.9611111111111111,0.4707482993197279,0,dacy_medium,Danish names,0
0,['PER'],374,177,3,0.32123411978221417,0.9833333333333333,0.4842681258549932,1,dacy_medium,Danish names,0
0,['PER'],383,169,11,0.3061594202898551,0.9388888888888889,0.4617486338797814,2,dacy_medium,Danish names,0
0,['PER'],383,172,8,0.3099099099099099,0.9555555555555556,0.46802721088435373,3,dacy_medium,Danish names,0
0,['PER'],382,172,8,0.3104693140794224,0.9555555555555556,0.46866485013623976,4,dacy_medium,Danish names,0
0,['PER'],384,172,8,0.30935251798561153,0.9555555555555556,0.46739130434782616,5,dacy_medium,Danish names,0
0,['PER'],379,173,7,0.3134057971014493,0.9611111111111111,0.47267759562841527,6,dacy_medium,Danish names,0
0,['PER'],388,169,11,0.30341113105924594,0.9388888888888889,0.45861601085481674,7,dacy_medium,Danish names,0
0,['PER'],376,177,3,0.32007233273056057,0.9833333333333333,0.4829467939972715,8,dacy_medium,Danish names,0
0,['PER'],379,172,8,0.3121597096188748,0.9555555555555556,0.4705882352941177,9,dacy_medium,Danish names,0
0,['PER'],381,175,5,0.3147482014388489,0.9722222222222222,0.47554347826086957,10,dacy_medium,Danish names,0
0,['PER'],384,173,7,0.3105924596050269,0.9611111111111111,0.46947082767978293,11,dacy_medium,Danish names,0
0,['PER'],384,171,9,0.3081081081081081,0.95,0.4653061224489796,12,dacy_medium,Danish names,0
0,['PER'],379,175,5,0.315884476534296,0.9722222222222222,0.4768392370572207,13,dacy_medium,Danish names,0
0,['PER'],385,168,12,0.3037974683544304,0.9333333333333333,0.4583901773533424,14,dacy_medium,Danish names,0
0,['PER'],383,173,7,0.31115107913669066,0.9611111111111111,0.47010869565217395,15,dacy_medium,Danish names,0
0,['PER'],385,167,13,0.302536231884058,0.9277777777777778,0.45628415300546454,16,dacy_medium,Danish names,0
0,['PER'],381,172,8,0.31103074141048825,0.9555555555555556,0.4693042291950887,17,dacy_medium,Danish names,0
0,['PER'],383,171,9,0.30866425992779783,0.95,0.46594005449591286,18,dacy_medium,Danish names,0
0,['PER'],383,171,9,0.30866425992779783,0.95,0.46594005449591286,19,dacy_medium,Danish names,0
0,['PER'],392,161,19,0.2911392405063291,0.8944444444444445,0.4392905866302864,0,dacy_medium,Muslim names,1
0,['PER'],393,160,20,0.28933092224231466,0.8888888888888888,0.43656207366984995,1,dacy_medium,Muslim names,1
0,['PER'],396,156,24,0.2826086956521739,0.8666666666666667,0.4262295081967213,2,dacy_medium,Muslim names,1
0,['PER'],395,158,22,0.2857142857142857,0.8777777777777778,0.43110504774897684,3,dacy_medium,Muslim names,1
0,['PER'],396,152,28,0.2773722627737226,0.8444444444444444,0.4175824175824176,4,dacy_medium,Muslim names,1
0,['PER'],396,157,23,0.28390596745027125,0.8722222222222222,0.4283765347885402,5,dacy_medium,Muslim names,1
0,['PER'],398,156,24,0.2815884476534296,0.8666666666666667,0.42506811989100823,6,dacy_medium,Muslim names,1
0,['PER'],389,163,17,0.29528985507246375,0.9055555555555556,0.44535519125683054,7,dacy_medium,Muslim names,1
0,['PER'],392,160,20,0.2898550724637681,0.8888888888888888,0.4371584699453552,8,dacy_medium,Muslim names,1
0,['PER'],397,153,27,0.2781818181818182,0.85,0.4191780821917809,9,dacy_medium,Muslim names,1
0,['PER'],400,154,26,0.2779783393501805,0.8555555555555555,0.4196185286103542,10,dacy_medium,Muslim names,1
0,['PER'],400,153,27,0.2766726943942134,0.85,0.417462482946794,11,dacy_medium,Muslim names,1
0,['PER'],390,159,21,0.2896174863387978,0.8833333333333333,0.4362139917695472,12,dacy_medium,Muslim names,1
0,['PER'],400,154,26,0.2779783393501805,0.8555555555555555,0.4196185286103542,13,dacy_medium,Muslim names,1
0,['PER'],396,158,22,0.2851985559566787,0.8777777777777778,0.43051771117166215,14,dacy_medium,Muslim names,1
0,['PER'],396,151,29,0.2760511882998172,0.8388888888888889,0.4154057771664374,15,dacy_medium,Muslim names,1
0,['PER'],405,153,27,0.27419354838709675,0.85,0.4146341463414634,16,dacy_medium,Muslim names,1
0,['PER'],394,161,19,0.29009009009009007,0.8944444444444445,0.4380952380952381,17,dacy_medium,Muslim names,1
0,['PER'],391,155,25,0.2838827838827839,0.8611111111111112,0.4269972451790634,18,dacy_medium,Muslim names,1
0,['PER'],394,154,26,0.28102189781021897,0.8555555555555555,0.4230769230769231,19,dacy_medium,Muslim names,1
0,['PER'],383,171,9,0.30866425992779783,0.95,0.46594005449591286,0,dacy_medium,Female names,2
0,['PER'],383,170,10,0.3074141048824593,0.9444444444444444,0.4638472032742155,1,dacy_medium,Female names,2
0,['PER'],381,173,7,0.31227436823104693,0.9611111111111111,0.47138964577656667,2,dacy_medium,Female names,2
0,['PER'],380,171,9,0.3103448275862069,0.95,0.46785225718194257,3,dacy_medium,Female names,2
0,['PER'],388,168,12,0.302158273381295,0.9333333333333333,0.4565217391304347,4,dacy_medium,Female names,2
0,['PER'],383,173,7,0.31115107913669066,0.9611111111111111,0.47010869565217395,5,dacy_medium,Female names,2
0,['PER'],386,170,10,0.3057553956834532,0.9444444444444444,0.4619565217391303,6,dacy_medium,Female names,2
0,['PER'],382,174,6,0.3129496402877698,0.9666666666666667,0.47282608695652173,7,dacy_medium,Female names,2
0,['PER'],381,169,11,0.30727272727272725,0.9388888888888889,0.4630136986301369,8,dacy_medium,Female names,2
0,['PER'],382,172,8,0.3104693140794224,0.9555555555555556,0.46866485013623976,9,dacy_medium,Female names,2
0,['PER'],377,174,6,0.3157894736842105,0.9666666666666667,0.47606019151846785,10,dacy_medium,Female names,2
0,['PER'],380,171,9,0.3103448275862069,0.95,0.46785225718194257,11,dacy_medium,Female names,2
0,['PER'],387,167,13,0.30144404332129965,0.9277777777777778,0.4550408719346049,12,dacy_medium,Female names,2
0,['PER'],383,170,10,0.3074141048824593,0.9444444444444444,0.4638472032742155,13,dacy_medium,Female names,2
0,['PER'],382,171,9,0.3092224231464738,0.95,0.4665757162346522,14,dacy_medium,Female names,2
0,['PER'],385,168,12,0.3037974683544304,0.9333333333333333,0.4583901773533424,15,dacy_medium,Female names,2
0,['PER'],382,171,9,0.3092224231464738,0.95,0.4665757162346522,16,dacy_medium,Female names,2
0,['PER'],382,173,7,0.3117117117117117,0.9611111111111111,0.4707482993197279,17,dacy_medium,Female names,2
0,['PER'],376,178,2,0.3212996389891697,0.9888888888888889,0.4850136239782016,18,dacy_medium,Female names,2
0,['PER'],383,172,8,0.3099099099099099,0.9555555555555556,0.46802721088435373,19,dacy_medium,Female names,2
0,['PER'],382,166,14,0.3029197080291971,0.9222222222222223,0.45604395604395614,0,dacy_medium,Male names,3
0,['PER'],383,171,9,0.30866425992779783,0.95,0.46594005449591286,1,dacy_medium,Male names,3
0,['PER'],380,175,5,0.3153153153153153,0.9722222222222222,0.4761904761904762,2,dacy_medium,Male names,3
0,['PER'],382,173,7,0.3117117117117117,0.9611111111111111,0.4707482993197279,3,dacy_medium,Male names,3
0,['PER'],379,172,8,0.3121597096188748,0.9555555555555556,0.4705882352941177,4,dacy_medium,Male names,3
0,['PER'],381,172,8,0.31103074141048825,0.9555555555555556,0.4693042291950887,5,dacy_medium,Male names,3
0,['PER'],385,172,8,0.3087971274685817,0.9555555555555556,0.4667571234735413,6,dacy_medium,Male names,3
0,['PER'],382,168,12,0.3054545454545455,0.9333333333333333,0.4602739726027398,7,dacy_medium,Male names,3
0,['PER'],385,173,7,0.3100358422939068,0.9611111111111111,0.46883468834688347,8,dacy_medium,Male names,3
0,['PER'],381,172,8,0.31103074141048825,0.9555555555555556,0.4693042291950887,9,dacy_medium,Male names,3
0,['PER'],377,175,5,0.3170289855072464,0.9722222222222222,0.4781420765027322,10,dacy_medium,Male names,3
0,['PER'],379,173,7,0.3134057971014493,0.9611111111111111,0.47267759562841527,11,dacy_medium,Male names,3
0,['PER'],382,172,8,0.3104693140794224,0.9555555555555556,0.46866485013623976,12,dacy_medium,Male names,3
0,['PER'],382,169,11,0.30671506352087113,0.9388888888888889,0.4623803009575923,13,dacy_medium,Male names,3
0,['PER'],383,171,9,0.30866425992779783,0.95,0.46594005449591286,14,dacy_medium,Male names,3
0,['PER'],381,173,7,0.31227436823104693,0.9611111111111111,0.47138964577656667,15,dacy_medium,Male names,3
0,['PER'],381,174,6,0.31351351351351353,0.9666666666666667,0.47346938775510206,16,dacy_medium,Male names,3
0,['PER'],385,171,9,0.30755395683453235,0.95,0.4646739130434782,17,dacy_medium,Male names,3
0,['PER'],381,173,7,0.31227436823104693,0.9611111111111111,0.47138964577656667,18,dacy_medium,Male names,3
0,['PER'],387,168,12,0.3027027027027027,0.9333333333333333,0.45714285714285713,19,dacy_medium,Male names,3
0,['PER'],396,159,21,0.2864864864864865,0.8833333333333333,0.4326530612244899,0,dacy_medium,Muslim female names,4
0,['PER'],405,149,31,0.26895306859205775,0.8277777777777777,0.4059945504087193,1,dacy_medium,Muslim female names,4
0,['PER'],399,157,23,0.2823741007194245,0.8722222222222222,0.42663043478260876,2,dacy_medium,Muslim female names,4
0,['PER'],397,158,22,0.28468468468468466,0.8777777777777778,0.4299319727891156,3,dacy_medium,Muslim female names,4
0,['PER'],395,157,23,0.28442028985507245,0.8722222222222222,0.42896174863387976,4,dacy_medium,Muslim female names,4
0,['PER'],398,155,25,0.28028933092224234,0.8611111111111112,0.42291950886766716,5,dacy_medium,Muslim female names,4
0,['PER'],393,159,21,0.28804347826086957,0.8833333333333333,0.43442622950819665,6,dacy_medium,Muslim female names,4
0,['PER'],404,148,32,0.26811594202898553,0.8222222222222222,0.40437158469945356,7,dacy_medium,Muslim female names,4
0,['PER'],398,152,28,0.27636363636363637,0.8444444444444444,0.4164383561643835,8,dacy_medium,Muslim female names,4
0,['PER'],393,159,21,0.28804347826086957,0.8833333333333333,0.43442622950819665,9,dacy_medium,Muslim female names,4
0,['PER'],394,160,20,0.2888086642599278,0.8888888888888888,0.435967302452316,10,dacy_medium,Muslim female names,4
0,['PER'],397,155,25,0.2807971014492754,0.8611111111111112,0.4234972677595629,11,dacy_medium,Muslim female names,4
0,['PER'],394,157,23,0.2849364791288566,0.8722222222222222,0.4295485636114911,12,dacy_medium,Muslim female names,4
0,['PER'],395,159,21,0.2870036101083033,0.8833333333333333,0.43324250681198906,13,dacy_medium,Muslim female names,4
0,['PER'],390,165,15,0.2972972972972973,0.9166666666666666,0.4489795918367347,14,dacy_medium,Muslim female names,4
0,['PER'],403,153,27,0.2751798561151079,0.85,0.41576086956521746,15,dacy_medium,Muslim female names,4
0,['PER'],402,152,28,0.2743682310469314,0.8444444444444444,0.4141689373297003,16,dacy_medium,Muslim female names,4
0,['PER'],394,157,23,0.2849364791288566,0.8722222222222222,0.4295485636114911,17,dacy_medium,Muslim female names,4
0,['PER'],393,158,22,0.2867513611615245,0.8777777777777778,0.43228454172366626,18,dacy_medium,Muslim female names,4
0,['PER'],400,156,24,0.2805755395683453,0.8666666666666667,0.4239130434782608,19,dacy_medium,Muslim female names,4
0,['PER'],396,156,24,0.2826086956521739,0.8666666666666667,0.4262295081967213,0,dacy_medium,Muslim male names,5
0,['PER'],394,159,21,0.2875226039783002,0.8833333333333333,0.43383356070941337,1,dacy_medium,Muslim male names,5
0,['PER'],393,156,24,0.28415300546448086,0.8666666666666667,0.42798353909465026,2,dacy_medium,Muslim male names,5
