,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],233,172,8,0.4246913580246914,0.9555555555555556,0.588034188034188,0,danlp,Danish names,0
0,['PER'],231,175,5,0.43103448275862066,0.9722222222222222,0.5972696245733788,1,danlp,Danish names,0
0,['PER'],231,172,8,0.4267990074441687,0.9555555555555556,0.5900514579759862,2,danlp,Danish names,0
0,['PER'],233,173,7,0.42610837438423643,0.9611111111111111,0.5904436860068261,3,danlp,Danish names,0
0,['PER'],229,177,3,0.43596059113300495,0.9833333333333333,0.6040955631399317,4,danlp,Danish names,0
0,['PER'],237,170,10,0.4176904176904177,0.9444444444444444,0.5792163543441227,5,danlp,Danish names,0
0,['PER'],230,176,4,0.43349753694581283,0.9777777777777777,0.6006825938566552,6,danlp,Danish names,0
0,['PER'],236,171,9,0.4201474201474201,0.95,0.5826235093696762,7,danlp,Danish names,0
0,['PER'],230,177,3,0.4348894348894349,0.9833333333333333,0.6030664395229983,8,danlp,Danish names,0
0,['PER'],231,174,6,0.42962962962962964,0.9666666666666667,0.5948717948717949,9,danlp,Danish names,0
0,['PER'],231,176,4,0.43243243243243246,0.9777777777777777,0.5996592844974447,10,danlp,Danish names,0
0,['PER'],232,174,6,0.42857142857142855,0.9666666666666667,0.5938566552901023,11,danlp,Danish names,0
0,['PER'],230,175,5,0.43209876543209874,0.9722222222222222,0.5982905982905983,12,danlp,Danish names,0
0,['PER'],233,171,9,0.42326732673267325,0.95,0.5856164383561644,13,danlp,Danish names,0
0,['PER'],233,172,8,0.4246913580246914,0.9555555555555556,0.588034188034188,14,danlp,Danish names,0
0,['PER'],228,178,2,0.43842364532019706,0.9888888888888889,0.6075085324232082,15,danlp,Danish names,0
0,['PER'],229,178,2,0.43734643734643736,0.9888888888888889,0.606473594548552,16,danlp,Danish names,0
0,['PER'],233,173,7,0.42610837438423643,0.9611111111111111,0.5904436860068261,17,danlp,Danish names,0
0,['PER'],228,177,3,0.43703703703703706,0.9833333333333333,0.6051282051282052,18,danlp,Danish names,0
0,['PER'],230,173,7,0.4292803970223325,0.9611111111111111,0.5934819897084048,19,danlp,Danish names,0
0,['PER'],238,162,18,0.405,0.9,0.5586206896551724,0,danlp,Muslim names,1
0,['PER'],240,166,14,0.4088669950738916,0.9222222222222223,0.5665529010238908,1,danlp,Muslim names,1
0,['PER'],238,165,15,0.4094292803970223,0.9166666666666666,0.5660377358490566,2,danlp,Muslim names,1
0,['PER'],240,165,15,0.4074074074074074,0.9166666666666666,0.5641025641025641,3,danlp,Muslim names,1
0,['PER'],241,166,14,0.40786240786240785,0.9222222222222223,0.5655877342419081,4,danlp,Muslim names,1
0,['PER'],248,159,21,0.3906633906633907,0.8833333333333333,0.5417376490630323,5,danlp,Muslim names,1
0,['PER'],246,163,17,0.39853300733496333,0.9055555555555556,0.5534804753820034,6,danlp,Muslim names,1
0,['PER'],252,158,22,0.3853658536585366,0.8777777777777778,0.5355932203389832,7,danlp,Muslim names,1
0,['PER'],236,169,11,0.41728395061728396,0.9388888888888889,0.5777777777777777,8,danlp,Muslim names,1
0,['PER'],232,168,12,0.42,0.9333333333333333,0.5793103448275863,9,danlp,Muslim names,1
0,['PER'],247,155,25,0.3855721393034826,0.8611111111111112,0.5326460481099657,10,danlp,Muslim names,1
0,['PER'],243,161,19,0.39851485148514854,0.8944444444444445,0.5513698630136986,11,danlp,Muslim names,1
0,['PER'],239,162,18,0.40399002493765584,0.9,0.5576592082616179,12,danlp,Muslim names,1
0,['PER'],240,166,14,0.4088669950738916,0.9222222222222223,0.5665529010238908,13,danlp,Muslim names,1
0,['PER'],241,160,20,0.39900249376558605,0.8888888888888888,0.5507745266781412,14,danlp,Muslim names,1
0,['PER'],239,158,22,0.3979848866498741,0.8777777777777778,0.5476603119584056,15,danlp,Muslim names,1
0,['PER'],244,161,19,0.39753086419753086,0.8944444444444445,0.5504273504273504,16,danlp,Muslim names,1
0,['PER'],240,162,18,0.40298507462686567,0.9,0.5567010309278351,17,danlp,Muslim names,1
0,['PER'],244,161,19,0.39753086419753086,0.8944444444444445,0.5504273504273504,18,danlp,Muslim names,1
0,['PER'],238,165,15,0.4094292803970223,0.9166666666666666,0.5660377358490566,19,danlp,Muslim names,1
0,['PER'],235,175,5,0.4268292682926829,0.9722222222222222,0.5932203389830508,0,danlp,Female names,2
0,['PER'],231,174,6,0.42962962962962964,0.9666666666666667,0.5948717948717949,1,danlp,Female names,2
0,['PER'],234,172,8,0.4236453201970443,0.9555555555555556,0.5870307167235495,2,danlp,Female names,2
0,['PER'],229,173,7,0.43034825870646765,0.9611111111111111,0.5945017182130584,3,danlp,Female names,2
0,['PER'],229,177,3,0.43596059113300495,0.9833333333333333,0.6040955631399317,4,danlp,Female names,2
0,['PER'],231,177,3,0.4338235294117647,0.9833333333333333,0.6020408163265306,5,danlp,Female names,2
0,['PER'],234,175,5,0.4278728606356968,0.9722222222222222,0.5942275042444821,6,danlp,Female names,2
0,['PER'],232,175,5,0.42997542997543,0.9722222222222222,0.596252129471891,7,danlp,Female names,2
0,['PER'],233,174,6,0.4275184275184275,0.9666666666666667,0.5928449744463373,8,danlp,Female names,2
0,['PER'],231,175,5,0.43103448275862066,0.9722222222222222,0.5972696245733788,9,danlp,Female names,2
0,['PER'],232,174,6,0.42857142857142855,0.9666666666666667,0.5938566552901023,10,danlp,Female names,2
0,['PER'],230,175,5,0.43209876543209874,0.9722222222222222,0.5982905982905983,11,danlp,Female names,2
0,['PER'],231,175,5,0.43103448275862066,0.9722222222222222,0.5972696245733788,12,danlp,Female names,2
0,['PER'],231,177,3,0.4338235294117647,0.9833333333333333,0.6020408163265306,13,danlp,Female names,2
0,['PER'],229,177,3,0.43596059113300495,0.9833333333333333,0.6040955631399317,14,danlp,Female names,2
0,['PER'],236,170,10,0.4187192118226601,0.9444444444444444,0.5802047781569966,15,danlp,Female names,2
0,['PER'],231,176,4,0.43243243243243246,0.9777777777777777,0.5996592844974447,16,danlp,Female names,2
0,['PER'],235,168,12,0.41687344913151364,0.9333333333333333,0.5763293310463122,17,danlp,Female names,2
0,['PER'],226,178,2,0.4405940594059406,0.9888888888888889,0.6095890410958905,18,danlp,Female names,2
0,['PER'],232,174,6,0.42857142857142855,0.9666666666666667,0.5938566552901023,19,danlp,Female names,2
0,['PER'],231,175,5,0.43103448275862066,0.9722222222222222,0.5972696245733788,0,danlp,Male names,3
0,['PER'],235,171,9,0.4211822660098522,0.95,0.5836177474402731,1,danlp,Male names,3
0,['PER'],230,177,3,0.4348894348894349,0.9833333333333333,0.6030664395229983,2,danlp,Male names,3
0,['PER'],230,175,5,0.43209876543209874,0.9722222222222222,0.5982905982905983,3,danlp,Male names,3
0,['PER'],230,174,6,0.4306930693069307,0.9666666666666667,0.595890410958904,4,danlp,Male names,3
0,['PER'],231,177,3,0.4338235294117647,0.9833333333333333,0.6020408163265306,5,danlp,Male names,3
0,['PER'],233,173,7,0.42610837438423643,0.9611111111111111,0.5904436860068261,6,danlp,Male names,3
0,['PER'],232,173,7,0.4271604938271605,0.9611111111111111,0.5914529914529915,7,danlp,Male names,3
