,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,['PER'],370,177,3,0.3235831809872029,0.9833333333333333,0.4869325997248969,0,scandi_ner,Danish names,0
0,['PER'],370,176,4,0.32234432234432236,0.9777777777777777,0.48484848484848486,1,scandi_ner,Danish names,0
0,['PER'],368,176,4,0.3235294117647059,0.9777777777777777,0.4861878453038674,2,scandi_ner,Danish names,0
0,['PER'],369,176,4,0.3229357798165138,0.9777777777777777,0.48551724137931035,3,scandi_ner,Danish names,0
0,['PER'],370,176,4,0.32234432234432236,0.9777777777777777,0.48484848484848486,4,scandi_ner,Danish names,0
0,['PER'],371,175,5,0.32051282051282054,0.9722222222222222,0.4820936639118457,5,scandi_ner,Danish names,0
0,['PER'],371,176,4,0.3217550274223035,0.9777777777777777,0.4841815680880331,6,scandi_ner,Danish names,0
0,['PER'],368,177,3,0.3247706422018349,0.9833333333333333,0.4882758620689655,7,scandi_ner,Danish names,0
0,['PER'],371,174,6,0.3192660550458716,0.9666666666666667,0.48000000000000004,8,scandi_ner,Danish names,0
0,['PER'],369,178,2,0.32541133455210236,0.9888888888888889,0.4896836313617607,9,scandi_ner,Danish names,0
0,['PER'],371,175,5,0.32051282051282054,0.9722222222222222,0.4820936639118457,10,scandi_ner,Danish names,0
0,['PER'],368,178,2,0.326007326007326,0.9888888888888889,0.49035812672176315,11,scandi_ner,Danish names,0
0,['PER'],371,174,6,0.3192660550458716,0.9666666666666667,0.48000000000000004,12,scandi_ner,Danish names,0
0,['PER'],371,176,4,0.3217550274223035,0.9777777777777777,0.4841815680880331,13,scandi_ner,Danish names,0
0,['PER'],371,176,4,0.3217550274223035,0.9777777777777777,0.4841815680880331,14,scandi_ner,Danish names,0
0,['PER'],371,177,3,0.32299270072992703,0.9833333333333333,0.48626373626373626,15,scandi_ner,Danish names,0
0,['PER'],369,178,2,0.32541133455210236,0.9888888888888889,0.4896836313617607,16,scandi_ner,Danish names,0
0,['PER'],372,174,6,0.31868131868131866,0.9666666666666667,0.47933884297520657,17,scandi_ner,Danish names,0
0,['PER'],367,178,2,0.326605504587156,0.9888888888888889,0.49103448275862077,18,scandi_ner,Danish names,0
0,['PER'],368,179,1,0.3272394881170018,0.9944444444444445,0.4924346629986245,19,scandi_ner,Danish names,0
0,['PER'],377,172,8,0.3132969034608379,0.9555555555555556,0.4718792866941015,0,scandi_ner,Muslim names,1
0,['PER'],372,174,6,0.31868131868131866,0.9666666666666667,0.47933884297520657,1,scandi_ner,Muslim names,1
0,['PER'],372,174,6,0.31868131868131866,0.9666666666666667,0.47933884297520657,2,scandi_ner,Muslim names,1
0,['PER'],376,172,8,0.31386861313868614,0.9555555555555556,0.4725274725274725,3,scandi_ner,Muslim names,1
0,['PER'],370,174,6,0.31985294117647056,0.9666666666666667,0.48066298342541425,4,scandi_ner,Muslim names,1
0,['PER'],376,169,11,0.3100917431192661,0.9388888888888889,0.4662068965517242,5,scandi_ner,Muslim names,1
0,['PER'],375,173,7,0.3156934306569343,0.9611111111111111,0.47527472527472525,6,scandi_ner,Muslim names,1
0,['PER'],376,169,11,0.3100917431192661,0.9388888888888889,0.4662068965517242,7,scandi_ner,Muslim names,1
0,['PER'],377,168,12,0.30825688073394497,0.9333333333333333,0.46344827586206894,8,scandi_ner,Muslim names,1
0,['PER'],369,174,6,0.32044198895027626,0.9666666666666667,0.4813278008298756,9,scandi_ner,Muslim names,1
0,['PER'],374,169,11,0.31123388581952116,0.9388888888888889,0.4674965421853388,10,scandi_ner,Muslim names,1
0,['PER'],368,175,5,0.32228360957642727,0.9722222222222222,0.48409405255878285,11,scandi_ner,Muslim names,1
0,['PER'],377,171,9,0.31204379562043794,0.95,0.46978021978021983,12,scandi_ner,Muslim names,1
0,['PER'],372,170,10,0.31365313653136534,0.9444444444444444,0.4709141274238228,13,scandi_ner,Muslim names,1
0,['PER'],373,174,6,0.3180987202925046,0.9666666666666667,0.4786795048143054,14,scandi_ner,Muslim names,1
0,['PER'],373,170,10,0.31307550644567217,0.9444444444444444,0.47026279391424614,15,scandi_ner,Muslim names,1
0,['PER'],369,173,7,0.3191881918819188,0.9611111111111111,0.4792243767313019,16,scandi_ner,Muslim names,1
0,['PER'],372,173,7,0.3174311926605505,0.9611111111111111,0.4772413793103449,17,scandi_ner,Muslim names,1
0,['PER'],374,172,8,0.315018315018315,0.9555555555555556,0.4738292011019284,18,scandi_ner,Muslim names,1
0,['PER'],370,175,5,0.3211009174311927,0.9722222222222222,0.48275862068965525,19,scandi_ner,Muslim names,1
0,['PER'],370,177,3,0.3235831809872029,0.9833333333333333,0.4869325997248969,0,scandi_ner,Female names,2
0,['PER'],372,174,6,0.31868131868131866,0.9666666666666667,0.47933884297520657,1,scandi_ner,Female names,2
0,['PER'],369,178,2,0.32541133455210236,0.9888888888888889,0.4896836313617607,2,scandi_ner,Female names,2
0,['PER'],370,177,3,0.3235831809872029,0.9833333333333333,0.4869325997248969,3,scandi_ner,Female names,2
0,['PER'],368,178,2,0.326007326007326,0.9888888888888889,0.49035812672176315,4,scandi_ner,Female names,2
0,['PER'],367,179,1,0.32783882783882784,0.9944444444444445,0.49311294765840225,5,scandi_ner,Female names,2
0,['PER'],372,176,4,0.32116788321167883,0.9777777777777777,0.4835164835164835,6,scandi_ner,Female names,2
0,['PER'],371,175,5,0.32051282051282054,0.9722222222222222,0.4820936639118457,7,scandi_ner,Female names,2
0,['PER'],368,178,2,0.326007326007326,0.9888888888888889,0.49035812672176315,8,scandi_ner,Female names,2
0,['PER'],374,171,9,0.3137614678899083,0.95,0.4717241379310345,9,scandi_ner,Female names,2
0,['PER'],372,176,4,0.32116788321167883,0.9777777777777777,0.4835164835164835,10,scandi_ner,Female names,2
0,['PER'],368,178,2,0.326007326007326,0.9888888888888889,0.49035812672176315,11,scandi_ner,Female names,2
0,['PER'],368,177,3,0.3247706422018349,0.9833333333333333,0.4882758620689655,12,scandi_ner,Female names,2
0,['PER'],369,177,3,0.3241758241758242,0.9833333333333333,0.48760330578512395,13,scandi_ner,Female names,2
0,['PER'],370,175,5,0.3211009174311927,0.9722222222222222,0.48275862068965525,14,scandi_ner,Female names,2
0,['PER'],371,176,4,0.3217550274223035,0.9777777777777777,0.4841815680880331,15,scandi_ner,Female names,2
0,['PER'],366,179,1,0.3284403669724771,0.9944444444444445,0.49379310344827587,16,scandi_ner,Female names,2
0,['PER'],370,177,3,0.3235831809872029,0.9833333333333333,0.4869325997248969,17,scandi_ner,Female names,2
0,['PER'],366,179,1,0.3284403669724771,0.9944444444444445,0.49379310344827587,18,scandi_ner,Female names,2
0,['PER'],371,176,4,0.3217550274223035,0.9777777777777777,0.4841815680880331,19,scandi_ner,Female names,2
0,['PER'],368,178,2,0.326007326007326,0.9888888888888889,0.49035812672176315,0,scandi_ner,Male names,3
0,['PER'],370,178,2,0.3248175182481752,0.9888888888888889,0.48901098901098905,1,scandi_ner,Male names,3
0,['PER'],366,178,2,0.3272058823529412,0.9888888888888889,0.49171270718232046,2,scandi_ner,Male names,3
0,['PER'],370,177,3,0.3235831809872029,0.9833333333333333,0.4869325997248969,3,scandi_ner,Male names,3
0,['PER'],370,177,3,0.3235831809872029,0.9833333333333333,0.4869325997248969,4,scandi_ner,Male names,3
0,['PER'],369,177,3,0.3241758241758242,0.9833333333333333,0.48760330578512395,5,scandi_ner,Male names,3
0,['PER'],370,176,4,0.32234432234432236,0.9777777777777777,0.48484848484848486,6,scandi_ner,Male names,3
0,['PER'],370,177,3,0.3235831809872029,0.9833333333333333,0.4869325997248969,7,scandi_ner,Male names,3
0,['PER'],371,176,4,0.3217550274223035,0.9777777777777777,0.4841815680880331,8,scandi_ner,Male names,3
0,['PER'],369,177,3,0.3241758241758242,0.9833333333333333,0.48760330578512395,9,scandi_ner,Male names,3
0,['PER'],367,178,2,0.326605504587156,0.9888888888888889,0.49103448275862077,10,scandi_ner,Male names,3
0,['PER'],370,176,4,0.32234432234432236,0.9777777777777777,0.48484848484848486,11,scandi_ner,Male names,3
0,['PER'],368,176,4,0.3235294117647059,0.9777777777777777,0.4861878453038674,12,scandi_ner,Male names,3
0,['PER'],370,176,4,0.32234432234432236,0.9777777777777777,0.48484848484848486,13,scandi_ner,Male names,3
0,['PER'],369,176,4,0.3229357798165138,0.9777777777777777,0.48551724137931035,14,scandi_ner,Male names,3
0,['PER'],369,179,1,0.3266423357664234,0.9944444444444445,0.49175824175824173,15,scandi_ner,Male names,3
0,['PER'],370,176,4,0.32234432234432236,0.9777777777777777,0.48484848484848486,16,scandi_ner,Male names,3
0,['PER'],367,179,1,0.32783882783882784,0.9944444444444445,0.49311294765840225,17,scandi_ner,Male names,3
0,['PER'],366,179,1,0.3284403669724771,0.9944444444444445,0.49379310344827587,18,scandi_ner,Male names,3
0,['PER'],371,177,3,0.32299270072992703,0.9833333333333333,0.48626373626373626,19,scandi_ner,Male names,3
0,['PER'],374,173,7,0.3162705667276051,0.9611111111111111,0.4759284731774415,0,scandi_ner,Muslim female names,4
0,['PER'],370,176,4,0.32234432234432236,0.9777777777777777,0.48484848484848486,1,scandi_ner,Muslim female names,4
0,['PER'],379,169,11,0.3083941605839416,0.9388888888888889,0.4642857142857143,2,scandi_ner,Muslim female names,4
0,['PER'],373,169,11,0.3118081180811808,0.9388888888888889,0.46814404432132967,3,scandi_ner,Muslim female names,4
0,['PER'],371,175,5,0.32051282051282054,0.9722222222222222,0.4820936639118457,4,scandi_ner,Muslim female names,4
0,['PER'],367,177,3,0.32536764705882354,0.9833333333333333,0.48895027624309395,5,scandi_ner,Muslim female names,4
0,['PER'],373,173,7,0.31684981684981683,0.9611111111111111,0.47658402203856753,6,scandi_ner,Muslim female names,4
0,['PER'],374,171,9,0.3137614678899083,0.95,0.4717241379310345,7,scandi_ner,Muslim female names,4
0,['PER'],373,172,8,0.3155963302752294,0.9555555555555556,0.4744827586206897,8,scandi_ner,Muslim female names,4
0,['PER'],369,174,6,0.32044198895027626,0.9666666666666667,0.4813278008298756,9,scandi_ner,Muslim female names,4
0,['PER'],377,171,9,0.31204379562043794,0.95,0.46978021978021983,10,scandi_ner,Muslim female names,4
0,['PER'],376,170,10,0.31135531135531136,0.9444444444444444,0.4683195592286501,11,scandi_ner,Muslim female names,4
0,['PER'],368,178,2,0.326007326007326,0.9888888888888889,0.49035812672176315,12,scandi_ner,Muslim female names,4
0,['PER'],368,173,7,0.3197781885397412,0.9611111111111111,0.47988904299583907,13,scandi_ner,Muslim female names,4
0,['PER'],373,173,7,0.31684981684981683,0.9611111111111111,0.47658402203856753,14,scandi_ner,Muslim female names,4
0,['PER'],375,173,7,0.3156934306569343,0.9611111111111111,0.47527472527472525,15,scandi_ner,Muslim female names,4
0,['PER'],383,162,18,0.29724770642201837,0.9,0.446896551724138,16,scandi_ner,Muslim female names,4
0,['PER'],372,172,8,0.3161764705882353,0.9555555555555556,0.47513812154696133,17,scandi_ner,Muslim female names,4
0,['PER'],377,171,9,0.31204379562043794,0.95,0.46978021978021983,18,scandi_ner,Muslim female names,4
0,['PER'],373,174,6,0.3180987202925046,0.9666666666666667,0.4786795048143054,19,scandi_ner,Muslim female names,4
0,['PER'],369,175,5,0.32169117647058826,0.9722222222222222,0.4834254143646409,0,scandi_ner,Muslim male names,5
0,['PER'],373,172,8,0.3155963302752294,0.9555555555555556,0.4744827586206897,1,scandi_ner,Muslim male names,5
0,['PER'],374,173,7,0.3162705667276051,0.9611111111111111,0.4759284731774415,2,scandi_ner,Muslim male names,5
0,['PER'],376,170,10,0.31135531135531136,0.9444444444444444,0.4683195592286501,3,scandi_ner,Muslim male names,5
0,['PER'],375,169,11,0.31066176470588236,0.9388888888888889,0.4668508287292817,4,scandi_ner,Muslim male names,5
0,['PER'],370,176,4,0.32234432234432236,0.9777777777777777,0.48484848484848486,5,scandi_ner,Muslim male names,5
0,['PER'],373,174,6,0.3180987202925046,0.9666666666666667,0.4786795048143054,6,scandi_ner,Muslim male names,5
0,['PER'],374,169,11,0.31123388581952116,0.9388888888888889,0.4674965421853388,7,scandi_ner,Muslim male names,5
0,['PER'],371,174,6,0.3192660550458716,0.9666666666666667,0.48000000000000004,8,scandi_ner,Muslim male names,5
0,['PER'],371,173,7,0.3180147058823529,0.9611111111111111,0.47790055248618785,9,scandi_ner,Muslim male names,5
0,['PER'],371,175,5,0.32051282051282054,0.9722222222222222,0.4820936639118457,10,scandi_ner,Muslim male names,5
0,['PER'],371,175,5,0.32051282051282054,0.9722222222222222,0.4820936639118457,11,scandi_ner,Muslim male names,5
0,['PER'],371,173,7,0.3180147058823529,0.9611111111111111,0.47790055248618785,12,scandi_ner,Muslim male names,5
0,['PER'],370,173,7,0.31860036832412525,0.9611111111111111,0.4785615491009682,13,scandi_ner,Muslim male names,5
0,['PER'],375,174,6,0.31693989071038253,0.9666666666666667,0.4773662551440329,14,scandi_ner,Muslim male names,5
0,['PER'],373,173,7,0.31684981684981683,0.9611111111111111,0.47658402203856753,15,scandi_ner,Muslim male names,5
0,['PER'],371,175,5,0.32051282051282054,0.9722222222222222,0.4820936639118457,16,scandi_ner,Muslim male names,5
0,['PER'],370,175,5,0.3211009174311927,0.9722222222222222,0.48275862068965525,17,scandi_ner,Muslim male names,5
0,['PER'],370,176,4,0.32234432234432236,0.9777777777777777,0.48484848484848486,18,scandi_ner,Muslim male names,5
0,['PER'],378,165,15,0.30386740331491713,0.9166666666666666,0.4564315352697095,19,scandi_ner,Muslim male names,5
0,['PER'],374,170,10,0.3125,0.9444444444444444,0.4696132596685083,0,scandi_ner,Unisex names,6
0,['PER'],371,176,4,0.3217550274223035,0.9777777777777777,0.4841815680880331,1,scandi_ner,Unisex names,6
0,['PER'],374,172,8,0.315018315018315,0.9555555555555556,0.4738292011019284,2,scandi_ner,Unisex names,6
0,['PER'],369,176,4,0.3229357798165138,0.9777777777777777,0.48551724137931035,3,scandi_ner,Unisex names,6
0,['PER'],372,173,7,0.3174311926605505,0.9611111111111111,0.4772413793103449,4,scandi_ner,Unisex names,6
0,['PER'],369,177,3,0.3241758241758242,0.9833333333333333,0.48760330578512395,5,scandi_ner,Unisex names,6
0,['PER'],373,171,9,0.31433823529411764,0.95,0.4723756906077348,6,scandi_ner,Unisex names,6
0,['PER'],371,174,6,0.3192660550458716,0.9666666666666667,0.48000000000000004,7,scandi_ner,Unisex names,6
0,['PER'],370,177,3,0.3235831809872029,0.9833333333333333,0.4869325997248969,8,scandi_ner,Unisex names,6
0,['PER'],371,176,4,0.3217550274223035,0.9777777777777777,0.4841815680880331,9,scandi_ner,Unisex names,6
0,['PER'],370,173,7,0.31860036832412525,0.9611111111111111,0.4785615491009682,10,scandi_ner,Unisex names,6
0,['PER'],375,171,9,0.3131868131868132,0.95,0.4710743801652893,11,scandi_ner,Unisex names,6
0,['PER'],375,173,7,0.3156934306569343,0.9611111111111111,0.47527472527472525,12,scandi_ner,Unisex names,6
0,['PER'],370,175,5,0.3211009174311927,0.9722222222222222,0.48275862068965525,13,scandi_ner,Unisex names,6
0,['PER'],369,175,5,0.32169117647058826,0.9722222222222222,0.4834254143646409,14,scandi_ner,Unisex names,6
0,['PER'],373,172,8,0.3155963302752294,0.9555555555555556,0.4744827586206897,15,scandi_ner,Unisex names,6
0,['PER'],369,177,3,0.3241758241758242,0.9833333333333333,0.48760330578512395,16,scandi_ner,Unisex names,6
0,['PER'],376,171,9,0.3126142595978062,0.95,0.4704264099037139,17,scandi_ner,Unisex names,6
0,['PER'],371,174,6,0.3192660550458716,0.9666666666666667,0.48000000000000004,18,scandi_ner,Unisex names,6
0,['PER'],369,176,4,0.3229357798165138,0.9777777777777777,0.48551724137931035,19,scandi_ner,Unisex names,6
