,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,PER,335,169,11,0.3353174603174603,0.9388888888888889,0.49415204678362573,0,spacy_medium,Danish names,0
0,PER,332,168,12,0.336,0.9333333333333333,0.49411764705882355,1,spacy_medium,Danish names,0
0,PER,330,172,8,0.3426294820717131,0.9555555555555556,0.5043988269794721,2,spacy_medium,Danish names,0
0,PER,331,171,9,0.34063745019920316,0.95,0.501466275659824,3,spacy_medium,Danish names,0
0,PER,331,170,10,0.3393213572854291,0.9444444444444444,0.499265785609398,4,spacy_medium,Danish names,0
0,PER,331,169,11,0.338,0.9388888888888889,0.4970588235294118,5,spacy_medium,Danish names,0
0,PER,333,169,11,0.33665338645418325,0.9388888888888889,0.49560117302052786,6,spacy_medium,Danish names,0
0,PER,331,170,10,0.3393213572854291,0.9444444444444444,0.499265785609398,7,spacy_medium,Danish names,0
0,PER,333,169,11,0.33665338645418325,0.9388888888888889,0.49560117302052786,8,spacy_medium,Danish names,0
0,PER,332,168,12,0.336,0.9333333333333333,0.49411764705882355,9,spacy_medium,Danish names,0
0,PER,332,170,10,0.3386454183266932,0.9444444444444444,0.4985337243401759,10,spacy_medium,Danish names,0
0,PER,333,167,13,0.334,0.9277777777777778,0.4911764705882353,11,spacy_medium,Danish names,0
0,PER,335,168,12,0.33399602385685884,0.9333333333333333,0.49194729136163984,12,spacy_medium,Danish names,0
0,PER,334,168,12,0.3346613545816733,0.9333333333333333,0.49266862170087977,13,spacy_medium,Danish names,0
0,PER,338,166,14,0.32936507936507936,0.9222222222222223,0.4853801169590644,14,spacy_medium,Danish names,0
0,PER,332,172,8,0.3412698412698413,0.9555555555555556,0.5029239766081871,15,spacy_medium,Danish names,0
0,PER,333,171,9,0.3392857142857143,0.95,0.5000000000000001,16,spacy_medium,Danish names,0
0,PER,333,168,12,0.33532934131736525,0.9333333333333333,0.4933920704845815,17,spacy_medium,Danish names,0
0,PER,332,169,11,0.3373253493013972,0.9388888888888889,0.49632892804698964,18,spacy_medium,Danish names,0
0,PER,331,169,11,0.338,0.9388888888888889,0.4970588235294118,19,spacy_medium,Danish names,0
0,PER,392,98,82,0.2,0.5444444444444444,0.2925373134328358,0,spacy_medium,Muslim names,1
0,PER,389,107,73,0.2157258064516129,0.5944444444444444,0.3165680473372781,1,spacy_medium,Muslim names,1
0,PER,381,108,72,0.22085889570552147,0.6,0.32286995515695066,2,spacy_medium,Muslim names,1
0,PER,376,115,65,0.23421588594704684,0.6388888888888888,0.3427719821162444,3,spacy_medium,Muslim names,1
0,PER,388,107,73,0.21616161616161617,0.5944444444444444,0.31703703703703706,4,spacy_medium,Muslim names,1
0,PER,383,108,72,0.219959266802444,0.6,0.32190760059612517,5,spacy_medium,Muslim names,1
0,PER,378,116,64,0.23481781376518218,0.6444444444444445,0.34421364985163205,6,spacy_medium,Muslim names,1
0,PER,384,104,76,0.21311475409836064,0.5777777777777777,0.311377245508982,7,spacy_medium,Muslim names,1
0,PER,390,103,77,0.20892494929006086,0.5722222222222222,0.30609212481426445,8,spacy_medium,Muslim names,1
0,PER,384,108,72,0.21951219512195122,0.6,0.32142857142857145,9,spacy_medium,Muslim names,1
0,PER,400,94,86,0.1902834008097166,0.5222222222222223,0.27893175074183973,10,spacy_medium,Muslim names,1
0,PER,390,106,74,0.21370967741935484,0.5888888888888889,0.3136094674556213,11,spacy_medium,Muslim names,1
0,PER,377,111,69,0.22745901639344263,0.6166666666666667,0.3323353293413173,12,spacy_medium,Muslim names,1
