,duplicates,origin
0,Miriam,B
1,Mariam,M
2,Sara,B
3,Aisha,M
4,Fatma,M
5,Zahra,M
6,Fatima,M
7,Naja,DK
8,Maryam,M
9,Nadja,DK
10,Aya,M
11,Amal,M
12,Hanna,DK
13,Lina,DK
14,Mona,DK
15,Laila,B
16,Susan,DK
17,Sofia,DK
18,Sarah,B
19,Iman,M
20,Leila,M
21,Amina,M
22,Maria,DK
23,Nadia,DK
24,Amira,M
25,Zainab,M
26,Mina,M
27,Yasmin,M
28,Jasmin,B
29,Said,M
30,Adnan,M
31,Yusuf,M
32,Omar,M
33,Sami,M
34,Malik,M
35,Ismail,M
36,Bilal,M
37,Mikail,DK
38,Ahmed,M
39,Osman,M
40,Amir,M
41,Muhammed,M
42,Adam,DK
43,Yousef,M
44,Hamza,M
45,Mehmet,M
46,Hussein,M
47,Ahmet,M
48,Mohammad,M
49,Abdullah,M
50,Elias,DK
51,Abdul,M
52,Samir,M
53,Ibrahim,M
54,Jamal,M
55,Yunus,M
56,Youssef,M
57,Amin,M
58,Hassan,M
59,Mustafa,M
60,Anas,M
61,Kamil,M
62,Jan,DK
63,Khaled,M
64,Khalid,M
65,Muhammad,M
66,Hasan,M
67,Mohammed,M
68,Mohamed,M
69,Ali,M
70,Mohamad,M
71,Yasin,M
72,Mahmoud,M
73,Ahmad,M
74,Emir,M
