Navn,Drengenavn,Pigenavn
Aaju,Ja,Ja
Aaria,Ja,Ja
Aarya,Ja,Ja
Abel,Ja,Ja
Abiodun,Ja,Ja
Abiola,Ja,Ja
Abir,Ja,Ja
Acelya,Ja,Ja
Ada,Ja,Ja
Adama,Ja,Ja
Adan,Ja,Ja
Adar,Ja,Ja
Addis,Ja,Ja
Addison,Ja,Ja
Adel,Ja,Ja
Aden,Ja,Ja
Adhvik,Ja,Ja
Adi,Ja,Ja
Adian,Ja,Ja
Adita,Ja,Ja
Aezha,Ja,Ja
Afnan,Ja,Ja
Agam,Ja,Ja
Agne,Ja,Ja
Agni,Ja,Ja
Ahsen,Ja,Ja
Ahura,Ja,Ja
Aidan,Ja,Ja
Aiden,Ja,Ja
Aiko,Ja,Ja
Aimal,Ja,Ja
Aiman,Ja,Ja
Ainhoa,Ja,Ja
Aisosa,Ja,Ja
Ajnur,Ja,Ja
Ajo,Ja,Ja
Aki,Ja,Ja
Akila,Ja,Ja
Akira,Ja,Ja
Akisooq,Ja,Ja
Akram,Ja,Ja
Akshini,Ja,Ja
Al,Ja,Ja
Ala,Ja,Ja
Alaa,Ja,Ja
Alae,Ja,Ja
Alaz,Ja,Ja
Albi,Ja,Ja
Alec,Ja,Ja
Alek,Ja,Ja
Alem,Ja,Ja
Alex,Ja,Ja
Alexis,Ja,Ja
Alfa,Ja,Ja
Alfie,Ja,Ja
Alham,Ja,Ja
Alija,Ja,Ja
Alin,Ja,Ja
Alix,Ja,Ja
Alke,Ja,Ja
Alla,Ja,Ja
Allen,Ja,Ja
Alli,Ja,Ja
Almas,Ja,Ja
Alpha,Ja,Ja
Altaf,Ja,Ja
Alvild,Ja,Ja
Amal,Ja,Ja
Aman,Ja,Ja
Amana,Ja,Ja
Amani,Ja,Ja
Amar,Ja,Ja
Amari,Ja,Ja
Amaru,Ja,Ja
Amel,Ja,Ja
Amen,Ja,Ja
Ameya,Ja,Ja
Ami,Ja,Ja
Amine,Ja,Ja
Amran,Ja,Ja
An,Ja,Ja
Anan,Ja,Ja
Ananda,Ja,Ja
Anava,Ja,Ja
Anda,Ja,Ja
Andi,Ja,Ja
Andie,Ja,Ja
Andrea,Ja,Ja
Andy,Ja,Ja
Anele,Ja,Ja
Ange,Ja,Ja
Angel,Ja,Ja
Anh,Ja,Ja
Ani,Ja,Ja
Anis,Ja,Ja
Anmol,Ja,Ja
Anne,Ja,Ja
Antonie,Ja,Ja
Anu,Ja,Ja
Anuk,Ja,Ja
Anur,Ja,Ja
Anwar,Ja,Ja
Aputsiaq,Ja,Ja
Ara,Ja,Ja
Aram,Ja,Ja
Arda,Ja,Ja
Arden,Ja,Ja
Areg,Ja,Ja
Ari,Ja,Ja
Aria,Ja,Ja
Arian,Ja,Ja
Ariel,Ja,Ja
Arin,Ja,Ja
Ariya,Ja,Ja
Arjin,Ja,Ja
Armani,Ja,Ja
Arshia,Ja,Ja
Arta,Ja,Ja
Artemis,Ja,Ja
Arveen,Ja,Ja
Arya,Ja,Ja
Asa,Ja,Ja
Ashley,Ja,Ja
Asil,Ja,Ja
Aska,Ja,Ja
Asla,Ja,Ja
Aslaug,Ja,Ja
Asoh,Ja,Ja
Assana,Ja,Ja
Aster,Ja,Ja
Aston,Ja,Ja
Ata,Ja,Ja
Atlas,Ja,Ja
Auguste,Ja,Ja
Aulia,Ja,Ja
Ava,Ja,Ja
Avalon,Ja,Ja
Avan,Ja,Ja
Aven,Ja,Ja
Avery,Ja,Ja
Avesta,Ja,Ja
Avi,Ja,Ja
Aviv,Ja,Ja
Avneet,Ja,Ja
Avyan,Ja,Ja
Awaz,Ja,Ja
Awele,Ja,Ja
Awin,Ja,Ja
Ayaan,Ja,Ja
Ayan,Ja,Ja
Aycan,Ja,Ja
Aye,Ja,Ja
Ayhan,Ja,Ja
Ayo,Ja,Ja
Ayomide,Ja,Ja
Aysan,Ja,Ja
Azhar,Ja,Ja
Azura,Ja,Ja
Baby,Ja,Ja
Badr,Ja,Ja
Bailey,Ja,Ja
Balou,Ja,Ja
Bana,Ja,Ja
Bao,Ja,Ja
Baraa,Ja,Ja
Baraka,Ja,Ja
Bari,Ja,Ja
Barri,Ja,Ja
Barry,Ja,Ja
Bawi,Ja,Ja
Bay,Ja,Ja
Beka,Ja,Ja
Bela,Ja,Ja
Benja,Ja,Ja
Benne,Ja,Ja
